,Material type,Elements,Ionic radius,Core size (nm),Hydro size (nm),Surface charge (mV),Surface area (m2/g),Cell type,Exposure dose (ug/mL),Topological polar surface area (Å²),a (Å),b (Å),c (Å),α (°),β (°),γ (°),Density (g/cm3),Viability (%),cell_line,cell_species,cell_origin,time,toxicity,average electronegativity,Molecular weight (g/mol),Number of atoms
0,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,200.0,17.1,2.993,2.993,2.993,60,60,60,6.97,9.1,,,,,,2.67,79.5454,2.0
1,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,200.0,17.1,3.289,3.289,5.307,90,90,120,5.44,9.5,,,,,,2.545,81.4084,2.0
2,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,100.0,17.1,3.289,3.289,5.307,90,90,120,5.44,10.2,,,,,,2.545,81.4084,2.0
3,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,100.0,17.1,3.289,3.289,5.307,90,90,120,5.44,11.0,,,,,,2.545,81.4084,2.0
4,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,200.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,11.3,,,,,,2.684,157.87429,5.0
5,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,50.0,17.1,3.289,3.289,5.307,90,90,120,5.44,11.8,,,,,,2.545,81.4084,2.0
6,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,50.0,17.1,3.289,3.289,5.307,90,90,120,5.44,12.6,,,,,,2.545,81.4084,2.0
7,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,25.0,17.1,3.289,3.289,5.307,90,90,120,5.44,12.7,,,,,,2.545,81.4084,2.0
8,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,200.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,13.1,,,,,,2.66,74.93259499999999,2.0
9,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,200.0,17.1,3.289,3.289,5.307,90,90,120,5.44,13.6,,,,,,2.545,81.4084,2.0
10,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,100.0,17.1,2.993,2.993,2.993,60,60,60,6.97,14.3,,,,,,2.67,79.5454,2.0
11,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,12.5,17.1,3.289,3.289,5.307,90,90,120,5.44,14.3,,,,,,2.545,81.4084,2.0
12,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,200.0,17.1,2.993,2.993,2.993,60,60,60,6.97,14.8,,,,,,2.67,79.5454,2.0
13,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,200.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,15.7,,,,,,2.684,157.87429,5.0
14,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,50.0,17.1,2.993,2.993,2.993,60,60,60,6.97,16.7,,,,,,2.67,79.5454,2.0
15,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,100.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,17.3,,,,,,2.684,157.87429,5.0
16,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,100.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,18.7,,,,,,2.684,157.87429,5.0
17,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,25.0,17.1,3.289,3.289,5.307,90,90,120,5.44,19.2,,,,,,2.545,81.4084,2.0
18,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,200.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,21.3,,,,,,2.684,157.87429,5.0
19,CoO,Co,,71.8,191.6,21.6,13.0,1,200.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,21.9,,,,,,2.66,74.93259499999999,2.0
20,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,50.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,23.3,,,,,,2.684,157.87429,5.0
21,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,50.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,-23.6,,,,,,2.684,157.87429,5.0
22,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,100.0,17.1,2.993,2.993,2.993,60,60,60,6.97,23.9,,,,,,2.67,79.5454,2.0
23,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,200.0,17.1,2.993,2.993,2.993,60,60,60,6.97,25.8,,,,,,2.67,79.5454,2.0
24,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,200.0,17.1,3.289,3.289,5.307,90,90,120,5.44,26.3,,,,,,2.545,81.4084,2.0
25,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,200.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,27.8,,,,,,2.66,74.93259499999999,2.0
26,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,25.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,30.5,,,,,,2.684,157.87429,5.0
27,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,200.0,17.1,3.289,3.289,5.307,90,90,120,5.44,30.7,,,,,,2.545,81.4084,2.0
28,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,100.0,17.1,3.289,3.289,5.307,90,90,120,5.44,30.7,,,,,,2.545,81.4084,2.0
29,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,200.0,17.1,2.993,2.993,2.993,60,60,60,6.97,30.8,,,,,,2.67,79.5454,2.0
30,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,50.0,17.1,2.993,2.993,2.993,60,60,60,6.97,31.7,,,,,,2.67,79.5454,2.0
31,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,100.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,32.1,,,,,,2.684,157.87429,5.0
32,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,25.0,17.1,2.993,2.993,2.993,60,60,60,6.97,32.2,,,,,,2.67,79.5454,2.0
33,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,100.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,32.6,,,,,,2.66,74.93259499999999,2.0
34,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,200.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,32.8,,,,,,2.684,157.87429,5.0
35,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,100.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,32.9,,,,,,2.66,74.93259499999999,2.0
36,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,6.3,17.1,3.289,3.289,5.307,90,90,120,5.44,33.8,,,,,,2.545,81.4084,2.0
37,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,200.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,33.9,,,,,,2.66,74.93259499999999,2.0
38,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,100.0,17.1,3.289,3.289,5.307,90,90,120,5.44,35.2,,,,,,2.545,81.4084,2.0
39,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,25.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,36.9,,,,,,2.684,157.87429,5.0
40,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,12.5,17.1,3.289,3.289,5.307,90,90,120,5.44,38.4,,,,,,2.545,81.4084,2.0
41,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,50.0,17.1,3.289,3.289,5.307,90,90,120,5.44,39.3,,,,,,2.545,81.4084,2.0
42,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,50.0,17.1,3.289,3.289,5.307,90,90,120,5.44,39.9,,,,,,2.545,81.4084,2.0
43,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,100.0,17.1,2.993,2.993,2.993,60,60,60,6.97,41.0,,,,,,2.67,79.5454,2.0
44,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,100.0,17.1,2.993,2.993,2.993,60,60,60,6.97,42.1,,,,,,2.67,79.5454,2.0
45,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,12.5,43.4,5.752,5.752,9.426,90,90.0,90,4.59,44.4,,,,,,2.684,157.87429,5.0
46,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,25.0,17.1,2.993,2.993,2.993,60,60,60,6.97,45.3,,,,,,2.67,79.5454,2.0
47,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,100.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,46.1,,,,,,2.684,157.87429,5.0
48,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,50.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,46.5,,,,,,2.66,74.93259499999999,2.0
49,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,50.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,48.2,,,,,,2.66,74.93259499999999,2.0
50,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,50.0,17.1,2.993,2.993,2.993,60,60,60,6.97,49.4,,,,,,2.67,79.5454,2.0
51,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,100.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,50200.0,,,,,,2.66,74.93259499999999,2.0
52,CoO,cobalt,65.0,71.8,208.3,21.6,13.0,0,100.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,50.8,,,,,,2.66,74.93259499999999,2.0
53,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,25.0,17.1,3.289,3.289,5.307,90,90,120,5.44,52.4,,,,,,2.545,81.4084,2.0
54,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,50.0,17.1,2.993,2.993,2.993,60,60,60,6.97,52.5,,,,,,2.67,79.5454,2.0
55,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,25.0,17.1,3.289,3.289,5.307,90,90,120,5.44,53.9,,,,,,2.545,81.4084,2.0
56,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,12.5,43.4,5.752,5.752,9.426,90,90.0,90,4.59,54.5,,,,,,2.684,157.87429,5.0
57,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,6.3,43.4,5.752,5.752,9.426,90,90.0,90,4.59,54.9,,,,,,2.684,157.87429,5.0
58,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,50.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,55.0,,,,,,2.684,157.87429,5.0
59,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,50.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,55.5,,,,,,2.684,157.87429,5.0
60,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,6.3,17.1,3.289,3.289,5.307,90,90,120,5.44,57.5,,,,,,2.545,81.4084,2.0
61,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,12.5,17.1,2.993,2.993,2.993,60,60,60,6.97,57.8,,,,,,2.67,79.5454,2.0
62,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,3.2,17.1,3.289,3.289,5.307,90,90,120,5.44,58.8,,,,,,2.545,81.4084,2.0
63,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,25.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,59.9,,,,,,2.66,74.93259499999999,2.0
64,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,50.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,62.6,,,,,,2.66,74.93259499999999,2.0
65,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,6.3,17.1,2.993,2.993,2.993,60,60,60,6.97,63.2,,,,,,2.67,79.5454,2.0
66,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,25.0,17.1,2.993,2.993,2.993,60,60,60,6.97,66.2,,,,,,2.67,79.5454,2.0
67,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,12.5,17.1,2.993,2.993,2.993,60,60,60,6.97,66.2,,,,,,2.67,79.5454,2.0
68,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,25.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,67.6,,,,,,2.66,74.93259499999999,2.0
69,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,50.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,67.8,,,,,,2.66,74.93259499999999,2.0
70,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,12.5,17.1,4.24,4.24,4.24,90,90.0,90,6.31,67.8,,,,,,2.66,74.93259499999999,2.0
71,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,25.0,17.1,2.993,2.993,2.993,60,60,60,6.97,68.5,,,,,,2.67,79.5454,2.0
72,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,6.3,43.4,5.752,5.752,9.426,90,90.0,90,4.59,71.8,,,,,,2.684,157.87429,5.0
73,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,12.5,17.1,3.289,3.289,5.307,90,90,120,5.44,72.5,,,,,,2.545,81.4084,2.0
74,ZnO,Zn,74.0,22.6,69.4,28.8,47.4,1,3.2,17.1,3.289,3.289,5.307,90,90,120,5.44,73.9,,,,,,2.545,81.4084,2.0
75,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,25.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,76.5,,,,,,2.684,157.87429,5.0
76,Mn2O3,Mn,58.0,51.5,291.7,-46.1,25.9,1,25.0,43.4,5.752,5.752,9.426,90,90.0,90,4.59,76.8,,,,,,2.684,157.87429,5.0
77,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,3.2,43.4,5.752,5.752,9.426,90,90.0,90,4.59,78.1,,,,,,2.684,157.87429,5.0
78,CuO,Cu,73.0,12.8,313.8,7.6,74.2,1,12.5,17.1,2.993,2.993,2.993,60,60,60,6.97,79.1,,,,,,2.67,79.5454,2.0
79,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,12.5,17.1,3.289,3.289,5.307,90,90,120,5.44,79.6,,,,,,2.545,81.4084,2.0
80,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,3.2,34.1,5.41,5.41,5.41,90,90.0,90,6.99,80.0,,,,,,2.6666666666666665,172.1148,3.0
81,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,3.2,34.1,5.41,5.41,5.41,90,90.0,90,6.99,80.0,,,,,,2.6666666666666665,172.1148,3.0
82,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,0.8,43.4,8.276,8.276,8.276,109,109,109,4.86,80.0,,,,,,2.7960000000000003,159.6882,5.0
83,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,0.8,43.4,10.796,10.796,10.796,90,90.0,90,7.51,80.0,,,,,,2.544,362.4982,5.0
84,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,3.2,34.1,5.12,5.18,5.25,90,90.0,90,9.97,80.0,,,,,,2.7266666666666666,210.4888,3.0
85,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,200.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,80.0,,,,,,2.7266666666666666,210.4888,3.0
86,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,6.3,34.1,5.12,5.18,5.25,90,90.0,90,9.97,80.0,,,,,,2.7266666666666666,210.4888,3.0
87,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,3.2,43.4,10.118,10.118,10.118,90,90.0,90,6.75,80.0,,,,,,2.7760000000000002,277.63419999999996,5.0
88,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,25.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,80.0,,,,,,2.7760000000000002,277.63419999999996,5.0
89,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,0.4,43.4,10.118,10.118,10.118,90,90.0,90,6.75,80.0,,,,,,2.7760000000000002,277.63419999999996,5.0
90,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,3.2,43.4,10.118,10.118,10.118,90,90.0,90,6.75,80.0,,,,,,2.7760000000000002,277.63419999999996,5.0
91,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,1.6,43.4,10.118,10.118,10.118,90,90.0,90,6.75,80.0,,,,,,2.7760000000000002,277.63419999999996,5.0
92,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,0.8,43.4,3.945,3.945,6.151,90,90.0,120,6.52,80.0,,,,,,2.504,325.80914,5.0
